macros,positive frequency,length
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),2,4
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),13,4
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),12,4
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),35,4
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'),3,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'),2,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),2,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),12,5
('prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),12,5
('move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),35,5
('prepare_unload_0'  'move_r0_l0_l3'),52,2
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'),31,2
('move_r0_l3_l1'  'move_r0_l3_l1'),97,2
('move_r0_l3_l1'  'move_r0_l1_l0'),5,2
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),38,3
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'),29,3
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),29,3
('move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'),4,3
('move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,3
('move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'),53,3
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),45,3
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),38,4
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'),27,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),27,4
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'),1,4
('move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,4
('move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'),3,4
('move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),17,4
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),45,4
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),37,5
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'),21,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),26,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'),1,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'),1,5
('move_r0_l3_l1'  'move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'),3,5
('move_r0_l3_l1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),1,5
('move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),17,5
('move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),45,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),38,2
('load_r0_l1_c1_k1_1'  'prepare_unload_0'),47,2
('prepare_unload_0'  'load_r0_l1_c1_k1_1'),42,2
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),10,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),37,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,3
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),40,3
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),5,3
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),36,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),3,4
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),5,4
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),4,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),36,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),3,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),3,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),4,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),4,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),63,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),35,3
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),5,3
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),6,3
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),32,3
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),34,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,4
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),5,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),6,4
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),28,4
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),28,4
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),33,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'),2,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'),2,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),5,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'),5,5
('move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'),28,5
('prepare_unload_0'  'move_r0_l1_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),28,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),39,2
('move_r0_l1_l2'  'move_r0_l1_l2'),98,2
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),37,2
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),94,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),5,2
('move_r0_l2_l0'  'prepare_unload_0'),95,2
('prepare_unload_0'  'move_r0_l2_l0'),29,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),39,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),37,3
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),37,3
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),28,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),4,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),2,3
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),10,3
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),8,3
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),46,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),38,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),37,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),34,4
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),28,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),3,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),2,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),2,4
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),7,4
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),7,4
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),45,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'),38,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'),36,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'),34,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),25,5
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'),3,5
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),2,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'),7,5
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),6,5
('move_r0_l2_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),44,5
('move_r0_l2_l0'  'move_r0_l2_l0'),92,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),3,3
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),78,3
('move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'),39,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),2,4
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'),39,4
('move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),36,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'),1,5
('move_r0_l2_l0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),36,5
('move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),36,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l3'),34,2
('move_r0_l1_l3'  'move_r0_l1_l3'),96,2
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),39,2
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),101,2
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),10,2
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'),34,3
('load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'),34,3
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),39,3
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),33,3
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),5,3
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'),4,3
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'),33,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'),34,4
('load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),34,4
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),33,4
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),1,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'),4,4
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),4,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'),32,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'),33,5
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'),34,5
('load_r0_l1_c1_k1_0'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),28,5
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'),1,5
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'),4,5
('load_r0_l3_c3_k1_1'  'move_r0_l3_l0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),3,5
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),35,2
('move_r0_l3_l1'  'prepare_unload_0'),19,2
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),23,3
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),31,3
('move_r0_l3_l1'  'move_r0_l3_l1'  'prepare_unload_0'),7,3
('move_r0_l3_l1'  'prepare_unload_0'  'move_r0_l1_l0'),3,3
('move_r0_l1_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),9,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),19,4
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'  'prepare_unload_0'),2,4
