macros,positive frequency,length
('move_r0_l3_l2'  'move_r0_l3_l2'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_1'),3,5
('move_r0_l3_l2'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),3,5
('move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'),24,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'),10,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'),21,4
('move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),18,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'),10,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'),10,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'),15,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),16,5
('move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'),2,5
('move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'),53,3
('move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'),51,4
('move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),52,4
('move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'),7,5
('move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),50,5
('move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),52,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),37,2
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),21,3
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),34,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),15,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),19,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),4,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),15,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),15,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),3,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),11,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),11,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),11,5
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),7,3
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),7,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),2,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),2,4
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),2,4
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),3,4
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),7,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),2,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'move_r0_l2_l3'),1,5
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),2,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'move_r0_l3_l0'),2,5
('load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),2,5
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),1,5
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),3,5
('move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'  'prepare_unload_0'),7,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'),40,2
('prepare_unload_0'  'move_r0_l3_l1'),17,2
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),29,2
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'),40,3
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),34,3
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'),5,3
('prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),16,3
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),28,3
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),23,3
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'),40,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),34,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'),2,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'),3,4
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),5,4
('prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),7,4
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),22,4
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'),7,4
('move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'),40,5
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),34,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'),2,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'),1,5
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'),3,5
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),5,5
('prepare_unload_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),6,5
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'),7,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'prepare_unload_0'),3,5
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),22,2
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),12,3
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),21,3
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),7,4
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),11,4
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),21,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),7,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),6,5
('load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'),11,5
('load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),16,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'),4,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),12,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),12,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'),11,5
('load_r0_l2_c2_k1_2'  'prepare_unload_0'),25,2
('prepare_unload_0'  'load_r0_l2_c2_k1_2'),9,2
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),3,3
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'),8,3
('prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),1,3
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),3,4
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'),3,4
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),1,4
('prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'prepare_unload_0'),1,4
('load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),3,5
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'),3,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'),24,2
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),64,2
('load_r0_l1_c1_k1_3'  'move_r0_l1_l0'),75,2
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'),7,3
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),16,3
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'),59,3
('load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'),8,3
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'),6,4
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),7,4
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'),16,4
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'),7,4
('load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),8,4
('load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),3,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'),3,5
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),6,5
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'),7,5
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'),3,5
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'),7,5
('load_r0_l1_c1_k1_3'  'move_r0_l1_l0'  'prepare_unload_0'  'move_r0_l1_l0'  'unload_r0_k1_0'),2,5
('prepare_unload_0'  'load_r0_l1_c1_k1_3'),22,2
('load_r0_l1_c1_k1_3'  'prepare_unload_0'),24,2
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),3,3
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),5,3
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'),2,3
('prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),4,3
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'),4,3
('load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'),6,3
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),6,3
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'),6,4
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),3,4
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),2,4
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),4,4
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'),1,4
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),2,4
('prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'),1,4
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'),4,4
('load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),5,4
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'),4,4
('move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'),6,5
('move_r0_l0_l1'  'load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'),3,5
('load_r0_l1_c1_k1_0'  'prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),2,5
('prepare_unload_0'  'load_r0_l1_c1_k1_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'),2,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),2,5
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'),1,5
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'),1,5
('prepare_unload_0'  'load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'),1,5
('load_r0_l1_c1_k1_3'  'load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'),3,5
('load_r0_l1_c1_k1_3'  'prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'),4,5
('prepare_unload_0'  'move_r0_l1_l0'  'move_r0_l1_l0'  'prepare_unload_0'  'prepare_unload_0'),1,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),18,2
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'),26,2
('load_r0_l2_c2_k1_3'  'prepare_unload_0'),50,2
('prepare_unload_0'  'load_r0_l2_c2_k1_3'),39,2
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l1'),44,3
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),12,3
('load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'),15,3
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'),21,3
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),14,3
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'),32,3
('prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),6,3
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'),14,3
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'),40,4
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),4,4
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'),11,4
('load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'),15,4
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),14,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'),12,4
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),6,4
('prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'),5,4
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,4
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l1'  'move_r0_l0_l1'  'load_r0_l1_c1_k1_0'),38,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),4,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'),3,5
('load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'),11,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),12,5
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'),12,5
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'),5,5
('prepare_unload_0'  'load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),1,5
('load_r0_l2_c2_k1_3'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'unload_r0_k1_0'),1,5
('load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'),50,2
('load_r0_l2_c2_k1_3'  'move_r0_l2_l0'),70,2
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),5,3
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'),12,3
('load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'),41,3
('load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'),6,3
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),3,4
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),4,4
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'),3,4
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'),7,4
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'),12,4
('load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'),4,4
('load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),6,4
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'),5,4
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),3,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'),3,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'),3,5
('load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'),3,5
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'),3,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'),3,5
('move_r0_l1_l2'  'move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'),7,5
('move_r0_l1_l2'  'load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'),3,5
('load_r0_l2_c2_k1_3'  'load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'),4,5
('load_r0_l2_c2_k1_3'  'move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'),4,5
('move_r0_l2_l0'  'prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'),5,5
('prepare_unload_0'  'move_r0_l2_l0'  'prepare_unload_0'  'prepare_unload_0'  'unload_r0_k1_0'),5,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l3'),25,2
('move_r0_l1_l3'  'load_r0_l3_c3_k1_3'),26,2
('load_r0_l3_c3_k1_3'  'load_r0_l3_c3_k1_3'),49,2
('load_r0_l3_c3_k1_3'  'move_r0_l3_l0'),66,2
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l3'),5,3
('load_r0_l1_c1_k1_2'  'move_r0_l1_l3'  'move_r0_l1_l3'),22,3
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_3'),23,3
('move_r0_l1_l3'  'load_r0_l3_c3_k1_3'  'load_r0_l3_c3_k1_3'),19,3
