macros,positive frequency,length
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),6,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),6,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),6,5
('load_r0_l2_c2_k1_1'  'prepare_unload_0'),16,2
('prepare_unload_0'  'load_r0_l2_c2_k1_1'),12,2
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),5,3
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),12,3
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),3,3
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),5,4
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),5,4
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),3,4
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),3,4
('move_r0_l0_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),3,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'),5,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'),2,5
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'),3,5
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'),3,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'move_r0_l2_l0'),2,5
('move_r0_l0_l3'  'move_r0_l3_l2'),9,2
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'),9,2
('load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),37,2
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),40,2
('move_r0_l0_l3'  'move_r0_l0_l3'  'move_r0_l3_l2'),9,3
('move_r0_l0_l3'  'move_r0_l3_l2'  'move_r0_l3_l2'),9,3
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'),9,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),9,3
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),5,3
('load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),35,3
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),38,3
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),34,3
('move_r0_l0_l3'  'move_r0_l0_l3'  'move_r0_l3_l2'  'move_r0_l3_l2'),9,4
('move_r0_l0_l3'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'),9,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),9,4
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),3,4
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),5,4
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),4,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),35,4
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),32,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'),6,4
('move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),28,4
('move_r0_l0_l3'  'move_r0_l0_l3'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'),9,5
('move_r0_l0_l3'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'),9,5
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'),3,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'),2,5
('load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),3,5
('load_r0_l2_c2_k1_1'  'prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),4,5
('prepare_unload_0'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),4,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),29,5
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'),6,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'),4,5
('load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),6,5
('move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'  'unload_r0_k1_0'),28,5
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l2'),7,3
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'),4,3
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'),5,4
('load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'prepare_unload_0'  'prepare_unload_0'),1,4
('move_r0_l3_l0'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'),1,4
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,4
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l2'  'move_r0_l0_l2'  'load_r0_l2_c2_k1_0'),5,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'prepare_unload_0'),2,5
('load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'prepare_unload_0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'),1,5
('move_r0_l3_l0'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'),1,5
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),1,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),32,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),6,4
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),30,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),9,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'),6,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_0'  'load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'),6,5
('load_r0_l2_c2_k1_0'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'),29,5
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'),8,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l1'  'move_r0_l3_l1'),8,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'),1,5
('prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),1,3
('load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),5,3
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'),2,3
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),23,3
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),1,4
('prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'),1,4
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),2,4
('load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'),1,4
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,4
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),5,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),1,5
('load_r0_l3_c3_k1_1'  'prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'),1,5
('prepare_unload_0'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_2'),1,5
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'),2,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'),1,5
('load_r0_l2_c2_k1_2'  'prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'),1,5
('prepare_unload_0'  'move_r0_l2_l0'  'move_r0_l2_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),5,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),11,4
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),11,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'),9,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_2'  'load_r0_l2_c2_k1_2'  'move_r0_l2_l0'  'move_r0_l2_l0'),3,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_2'),10,4
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_2'),9,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),8,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'),35,2
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'),32,3
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),31,3
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'),31,4
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),28,4
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'),12,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'),31,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'),27,5
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'),10,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_2'  'load_r0_l1_c1_k1_2'),8,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'),12,4
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'),12,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'move_r0_l1_l2'),8,5
('move_r0_l1_l2'  'prepare_unload_0'),15,2
('prepare_unload_0'  'move_r0_l1_l2'),17,2
('move_r0_l1_l2'  'move_r0_l2_l3'),2,2
('load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'),7,3
('move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'),11,3
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'),1,3
('move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'),2,3
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'),7,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'),7,4
('move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'),1,4
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'),1,4
('move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),2,4
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'),4,5
('load_r0_l1_c1_k1_1'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'),7,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'),1,5
('move_r0_l1_l2'  'prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'),1,5
('prepare_unload_0'  'move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),1,5
('move_r0_l1_l2'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),2,5
('prepare_unload_0'  'move_r0_l0_l3'),12,2
('load_r0_l1_c1_k1_1'  'move_r0_l1_l3'),28,2
('move_r0_l1_l3'  'load_r0_l3_c3_k1_2'),31,2
('load_r0_l3_c3_k1_2'  'prepare_unload_0'),14,2
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l3'),7,3
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),6,3
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),4,3
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'),3,3
('load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'),25,3
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'),27,3
('move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),30,3
('load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),5,3
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'),3,3
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),7,3
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'),5,4
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),6,4
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),4,4
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),4,4
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'),3,4
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'),3,4
('load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'),24,4
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),27,4
('move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),1,4
('load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'),3,4
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'),3,4
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),3,4
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'),7,4
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'),5,5
('prepare_unload_0'  'move_r0_l0_l3'  'move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'),6,5
('load_r0_l3_c3_k1_0'  'move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'),4,5
('move_r0_l3_l1'  'move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'),4,5
('move_r0_l3_l1'  'load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'),1,5
('load_r0_l1_c1_k1_1'  'prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'),3,5
('prepare_unload_0'  'load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'),3,5
('load_r0_l1_c1_k1_1'  'move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'),24,5
('move_r0_l1_l3'  'move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),1,5
('move_r0_l1_l3'  'load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'),1,5
('load_r0_l3_c3_k1_2'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'),3,5
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'),3,5
('prepare_unload_0'  'prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'),3,5
('prepare_unload_0'  'move_r0_l3_l0'  'move_r0_l3_l0'  'prepare_unload_0'  'unload_r0_k1_0'),6,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'),11,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'),11,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'),11,5
('prepare_unload_0'  'move_r0_l3_l2'),18,2
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'),4,3
('prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'),8,3
('move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),4,3
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'),4,4
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'),4,4
('prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'),6,4
('move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),4,4
('move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'),4,4
('load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),2,4
('move_r0_l0_l3'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'),4,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'),4,5
('load_r0_l3_c3_k1_0'  'prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'),4,5
('prepare_unload_0'  'move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'),6,5
('load_r0_l2_c2_k1_1'  'move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'),4,5
('move_r0_l2_l1'  'move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'),4,5
('move_r0_l2_l1'  'load_r0_l1_c1_k1_2'  'prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'),2,5
('prepare_unload_0'  'load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'),2,5
('load_r0_l1_c1_k1_2'  'move_r0_l1_l0'  'move_r0_l1_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),2,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),32,3
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),14,4
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),31,4
('move_r0_l3_l2'  'move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'),13,5
('move_r0_l3_l2'  'load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'),14,5
('load_r0_l2_c2_k1_1'  'load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'),31,5
('prepare_unload_0'  'load_r0_l3_c3_k1_2'),9,2
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),6,3
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'),8,3
('prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'),5,3
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),6,4
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'),6,4
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'),5,4
('prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'),4,4
('load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),3,4
('load_r0_l2_c2_k1_1'  'move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'),6,5
('move_r0_l2_l3'  'move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'),6,5
('move_r0_l2_l3'  'load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'),4,5
('load_r0_l3_c3_k1_2'  'prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'),4,5
('prepare_unload_0'  'load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'),3,5
('load_r0_l3_c3_k1_2'  'move_r0_l3_l0'  'move_r0_l3_l0'  'unload_r0_k1_0'  'unload_r0_k1_0'),3,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),15,4
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'),15,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'move_r0_l3_l2'  'move_r0_l3_l2'),12,5
('load_r0_l3_c3_k1_0'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_1'  'load_r0_l3_c3_k1_2'),10,4
